interval_start_est,interval_end_est,node,lmp
2016-01-01T00:00:00.0,2016-01-01T01:00:00.0,ARKANSAS.HUB,20.69
2016-01-01T00:00:00.0,2016-01-01T01:00:00.0,ILLINOIS.HUB,20.79
2016-01-01T00:00:00.0,2016-01-01T01:00:00.0,INDIANA.HUB,20.11
2016-01-01T00:00:00.0,2016-01-01T01:00:00.0,LOUISIANA.HUB,20.53
2016-01-01T00:00:00.0,2016-01-01T01:00:00.0,MICHIGAN.HUB,20.08
2016-01-01T00:00:00.0,2016-01-01T01:00:00.0,MINN.HUB,16.16
2016-01-01T00:00:00.0,2016-01-01T01:00:00.0,TEXAS.HUB,20.17
2016-01-01T01:00:00.0,2016-01-01T02:00:00.0,ARKANSAS.HUB,19.99
2016-01-01T01:00:00.0,2016-01-01T02:00:00.0,ILLINOIS.HUB,20.73
2016-01-01T01:00:00.0,2016-01-01T02:00:00.0,INDIANA.HUB,19.58
2016-01-01T01:00:00.0,2016-01-01T02:00:00.0,LOUISIANA.HUB,20.36
2016-01-01T01:00:00.0,2016-01-01T02:00:00.0,MICHIGAN.HUB,19.71
2016-01-01T01:00:00.0,2016-01-01T02:00:00.0,MINN.HUB,15.78
2016-01-01T01:00:00.0,2016-01-01T02:00:00.0,TEXAS.HUB,20.25
2016-01-01T02:00:00.0,2016-01-01T03:00:00.0,ARKANSAS.HUB,19.14
2016-01-01T02:00:00.0,2016-01-01T03:00:00.0,ILLINOIS.HUB,19.07
2016-01-01T02:00:00.0,2016-01-01T03:00:00.0,INDIANA.HUB,18.49
2016-01-01T02:00:00.0,2016-01-01T03:00:00.0,LOUISIANA.HUB,18.99
2016-01-01T02:00:00.0,2016-01-01T03:00:00.0,MICHIGAN.HUB,18.32
2016-01-01T02:00:00.0,2016-01-01T03:00:00.0,MINN.HUB,13.87
2016-01-01T02:00:00.0,2016-01-01T03:00:00.0,TEXAS.HUB,19.08
2016-01-01T03:00:00.0,2016-01-01T04:00:00.0,ARKANSAS.HUB,19.12
2016-01-01T03:00:00.0,2016-01-01T04:00:00.0,ILLINOIS.HUB,18.98
2016-01-01T03:00:00.0,2016-01-01T04:00:00.0,INDIANA.HUB,17.94
2016-01-01T03:00:00.0,2016-01-01T04:00:00.0,LOUISIANA.HUB,18.92
2016-01-01T03:00:00.0,2016-01-01T04:00:00.0,MICHIGAN.HUB,17.83
2016-01-01T03:00:00.0,2016-01-01T04:00:00.0,MINN.HUB,12.73
2016-01-01T03:00:00.0,2016-01-01T04:00:00.0,TEXAS.HUB,19.06
2016-01-01T04:00:00.0,2016-01-01T05:00:00.0,ARKANSAS.HUB,19.07
2016-01-01T04:00:00.0,2016-01-01T05:00:00.0,ILLINOIS.HUB,18.66
2016-01-01T04:00:00.0,2016-01-01T05:00:00.0,INDIANA.HUB,17.88
2016-01-01T04:00:00.0,2016-01-01T05:00:00.0,LOUISIANA.HUB,18.68
2016-01-01T04:00:00.0,2016-01-01T05:00:00.0,MICHIGAN.HUB,17.76
2016-01-01T04:00:00.0,2016-01-01T05:00:00.0,MINN.HUB,11.98
2016-01-01T04:00:00.0,2016-01-01T05:00:00.0,TEXAS.HUB,18.89
2016-01-01T05:00:00.0,2016-01-01T06:00:00.0,ARKANSAS.HUB,20.03
2016-01-01T05:00:00.0,2016-01-01T06:00:00.0,ILLINOIS.HUB,19.94
2016-01-01T05:00:00.0,2016-01-01T06:00:00.0,INDIANA.HUB,19.27
2016-01-01T05:00:00.0,2016-01-01T06:00:00.0,LOUISIANA.HUB,20.32
2016-01-01T05:00:00.0,2016-01-01T06:00:00.0,MICHIGAN.HUB,19.07
2016-01-01T05:00:00.0,2016-01-01T06:00:00.0,MINN.HUB,13.49
2016-01-01T05:00:00.0,2016-01-01T06:00:00.0,TEXAS.HUB,20.35
2016-01-01T06:00:00.0,2016-01-01T07:00:00.0,ARKANSAS.HUB,19.95
2016-01-01T06:00:00.0,2016-01-01T07:00:00.0,ILLINOIS.HUB,20.28
2016-01-01T06:00:00.0,2016-01-01T07:00:00.0,INDIANA.HUB,20.55
2016-01-01T06:00:00.0,2016-01-01T07:00:00.0,LOUISIANA.HUB,20.46
2016-01-01T06:00:00.0,2016-01-01T07:00:00.0,MICHIGAN.HUB,20.76
2016-01-01T06:00:00.0,2016-01-01T07:00:00.0,MINN.HUB,16.04
2016-01-01T06:00:00.0,2016-01-01T07:00:00.0,TEXAS.HUB,20.41
2016-01-01T07:00:00.0,2016-01-01T08:00:00.0,ARKANSAS.HUB,20.87
2016-01-01T07:00:00.0,2016-01-01T08:00:00.0,ILLINOIS.HUB,21.81
2016-01-01T07:00:00.0,2016-01-01T08:00:00.0,INDIANA.HUB,22.12
