interval_start_est,interval_end_est,node,lmp
2023-01-01T00:00:00.0,2023-01-01T01:00:00.0,GRE.ALTW,24.2
2023-01-01T00:00:00.0,2023-01-01T01:00:00.0,MINN.HUB,24.87
2023-01-01T00:00:00.0,2023-01-01T01:00:00.0,NSP.NOBLES.WND,23.35
2023-01-01T00:00:00.0,2023-01-01T01:00:00.0,NSP.PVALEY.WND,25.43
2023-01-02T00:00:00.0,2023-01-02T01:00:00.0,GRE.ALTW,26.57
2023-01-02T00:00:00.0,2023-01-02T01:00:00.0,MINN.HUB,27.29
2023-01-02T00:00:00.0,2023-01-02T01:00:00.0,NSP.NOBLES.WND,25.75
2023-01-02T00:00:00.0,2023-01-02T01:00:00.0,NSP.PVALEY.WND,27.28
2023-01-03T00:00:00.0,2023-01-03T01:00:00.0,GRE.ALTW,20.18
2023-01-03T00:00:00.0,2023-01-03T01:00:00.0,MINN.HUB,23.73
2023-01-03T00:00:00.0,2023-01-03T01:00:00.0,NSP.NOBLES.WND,17.61
2023-01-03T00:00:00.0,2023-01-03T01:00:00.0,NSP.PVALEY.WND,23.15
2023-01-04T00:00:00.0,2023-01-04T01:00:00.0,GRE.ALTW,21.37
2023-01-04T00:00:00.0,2023-01-04T01:00:00.0,MINN.HUB,25.21
2023-01-04T00:00:00.0,2023-01-04T01:00:00.0,NSP.NOBLES.WND,18.25
2023-01-04T00:00:00.0,2023-01-04T01:00:00.0,NSP.PVALEY.WND,23.65
2023-01-05T00:00:00.0,2023-01-05T01:00:00.0,GRE.ALTW,20.18
2023-01-05T00:00:00.0,2023-01-05T01:00:00.0,MINN.HUB,23.99
2023-01-05T00:00:00.0,2023-01-05T01:00:00.0,NSP.NOBLES.WND,1.02
2023-01-05T00:00:00.0,2023-01-05T01:00:00.0,NSP.PVALEY.WND,23.25
2023-01-06T00:00:00.0,2023-01-06T01:00:00.0,GRE.ALTW,37.33
2023-01-06T00:00:00.0,2023-01-06T01:00:00.0,MINN.HUB,36.76
2023-01-06T00:00:00.0,2023-01-06T01:00:00.0,NSP.NOBLES.WND,36.61
2023-01-06T00:00:00.0,2023-01-06T01:00:00.0,NSP.PVALEY.WND,36.79
2023-01-07T00:00:00.0,2023-01-07T01:00:00.0,GRE.ALTW,61.31
2023-01-07T00:00:00.0,2023-01-07T01:00:00.0,MINN.HUB,53.91
2023-01-07T00:00:00.0,2023-01-07T01:00:00.0,NSP.NOBLES.WND,62.52
2023-01-07T00:00:00.0,2023-01-07T01:00:00.0,NSP.PVALEY.WND,52.54
2023-01-08T00:00:00.0,2023-01-08T01:00:00.0,GRE.ALTW,28.04
2023-01-08T00:00:00.0,2023-01-08T01:00:00.0,MINN.HUB,27.38
2023-01-08T00:00:00.0,2023-01-08T01:00:00.0,NSP.NOBLES.WND,26.97
2023-01-08T00:00:00.0,2023-01-08T01:00:00.0,NSP.PVALEY.WND,29.17
