duration,location,technology,revenue
4,np15,CAES,31135.189444309974
4,np15,Lead Acid,47985.02755187567
4,np15,Lithium-ion LFP,52453.668666545054
4,np15,Lithium-ion NMC,52453.668666545054
4,np15,PSH,50150.080289828635
4,np15,Thermal,26403.02209632094
4,np15,Vanadium Redox Flow,38498.99304117514
4,np15,Iron Air,21281.951407017114
10,np15,CAES,36721.84461172126
10,np15,Lead Acid,63727.397988457895
10,np15,Lithium-ion LFP,73331.96636331997
10,np15,Lithium-ion NMC,73331.96636331997
10,np15,PSH,68538.1283478884
10,np15,Thermal,29971.699395165164
10,np15,Vanadium Redox Flow,47860.92403708233
10,np15,Iron Air,23199.646861791683
24,np15,CAES,37651.37435679545
24,np15,Lead Acid,68833.76570518408
24,np15,Lithium-ion LFP,79725.02168653303
24,np15,Lithium-ion NMC,79725.02168653303
24,np15,PSH,74153.66851461002
24,np15,Thermal,30248.775212516663
24,np15,Vanadium Redox Flow,50263.12372127885
24,np15,Iron Air,23258.628732000005
100,np15,CAES,37651.37435679545
100,np15,Lead Acid,69570.67822738308
100,np15,Lithium-ion LFP,80934.43459483913
100,np15,Lithium-ion NMC,80934.43459483913
100,np15,PSH,74984.40399800002
100,np15,Thermal,30248.775212516663
100,np15,Vanadium Redox Flow,50519.79204305769
100,np15,Iron Air,23258.628732000005
4,sp15,CAES,69725.32120022799
4,sp15,Lead Acid,85298.91145073029
4,sp15,Lithium-ion LFP,88490.60118157571
4,sp15,Lithium-ion NMC,88490.60118157571
4,sp15,PSH,86882.74695727967
4,sp15,Thermal,63216.791032594694
4,sp15,Vanadium Redox Flow,77784.55656935068
4,sp15,Iron Air,54772.5238949934
10,sp15,CAES,82234.9215657399
10,sp15,Lead Acid,119628.44131244201
10,sp15,Lithium-ion LFP,131386.50700056754
10,sp15,Lithium-ion NMC,131386.50700056754
10,sp15,PSH,125293.17103314001
10,sp15,Thermal,71395.33784800148
10,sp15,Vanadium Redox Flow,98745.13547991969
10,sp15,Iron Air,59328.14792417199
24,sp15,CAES,83596.83903179545
24,sp15,Lead Acid,124369.29541204468
24,sp15,Lithium-ion LFP,137316.45608772588
24,sp15,Lithium-ion NMC,137316.45608772588
24,sp15,PSH,130983.21627200005
24,sp15,Thermal,72188.39601361667
24,sp15,Vanadium Redox Flow,101494.39776861538
24,sp15,Iron Air,59682.8388235
100,sp15,CAES,83596.83903179545
100,sp15,Lead Acid,124516.48570131816
100,sp15,Lithium-ion LFP,137674.57752997044
100,sp15,Lithium-ion NMC,137674.57752997044
100,sp15,PSH,131195.03611000002
100,sp15,Thermal,72188.39601361667
100,sp15,Vanadium Redox Flow,101598.39838178846
100,sp15,Iron Air,59682.8388235
