duration,location,technology,revenue
4,hbhub,CAES,139000.12632813756
4,hbhub,Lead Acid,152295.7364001486
4,hbhub,Lithium-ion LFP,155294.05294078038
4,hbhub,Lithium-ion NMC,155294.05294078038
4,hbhub,PSH,153795.3346716212
4,hbhub,Thermal,133680.6352862865
4,hbhub,Vanadium Redox Flow,145595.10470707077
4,hbhub,Iron Air,126327.34892484373
10,hbhub,CAES,175637.76148010232
10,hbhub,Lead Acid,197849.80135538566
10,hbhub,Lithium-ion LFP,203415.89509846183
10,hbhub,Lithium-ion NMC,203415.89509846183
10,hbhub,PSH,200582.04821278364
10,hbhub,Thermal,167121.78871521255
10,hbhub,Vanadium Redox Flow,186339.70947436124
10,hbhub,Iron Air,155415.77205605066
24,hbhub,CAES,178267.34364393353
24,hbhub,Lead Acid,202362.79581387044
24,hbhub,Lithium-ion LFP,208362.7654648642
24,hbhub,Lithium-ion NMC,208362.7654648642
24,hbhub,PSH,205273.77228208003
24,hbhub,Thermal,169330.04449364037
24,hbhub,Vanadium Redox Flow,189652.36038271425
24,hbhub,Iron Air,157336.00850000003
100,hbhub,CAES,178448.35281818183
100,hbhub,Lead Acid,203049.62889155844
100,hbhub,Lithium-ion LFP,209230.10882530126
100,hbhub,Lithium-ion NMC,209230.10882530126
100,hbhub,PSH,206050.98775000006
100,hbhub,Thermal,169370.1064333334
100,hbhub,Vanadium Redox Flow,190119.05323076926
100,hbhub,Iron Air,157336.00850000003
