duration,location,technology,revenue
4,gre,CAES,62799.89250383231
4,gre,Lead Acid,80571.0573979756
4,gre,Lithium-ion LFP,85501.37523656378
4,gre,Lithium-ion NMC,85501.37523656378
4,gre,PSH,83004.87566966223
4,gre,Thermal,57096.1064324271
4,gre,Vanadium Redox Flow,70853.09672923796
4,gre,Iron Air,50400.831401866664
10,gre,CAES,68656.04663240147
10,gre,Lead Acid,89279.81010195383
10,gre,Lithium-ion LFP,94753.50895354335
10,gre,Lithium-ion NMC,94753.50895354335
10,gre,PSH,91960.8140837778
10,gre,Thermal,61749.64063622661
10,gre,Vanadium Redox Flow,78179.89656634285
10,gre,Iron Air,53748.14548266667
24,gre,CAES,69483.6238181818
24,gre,Lead Acid,91948.99193311686
24,gre,Lithium-ion LFP,97972.59801385543
24,gre,Lithium-ion NMC,97972.59801385543
24,gre,PSH,94936.40675000001
24,gre,Thermal,62062.717566666666
24,gre,Vanadium Redox Flow,79868.31630769234
24,gre,Iron Air,53822.57
100,gre,CAES,69483.6238181818
100,gre,Lead Acid,91948.99193311686
100,gre,Lithium-ion LFP,97973.66640421687
100,gre,Lithium-ion NMC,97973.66640421687
100,gre,PSH,94936.40675000001
100,gre,Thermal,62062.717566666666
100,gre,Vanadium Redox Flow,79868.31630769234
100,gre,Iron Air,53822.57
4,pvaley,CAES,42712.53060272577
4,pvaley,Lead Acid,60137.59348256927
4,pvaley,Lithium-ion LFP,65184.89202428975
4,pvaley,Lithium-ion NMC,65184.89202428975
4,pvaley,PSH,62627.641147212446
4,pvaley,Thermal,37713.54154394579
4,pvaley,Vanadium Redox Flow,50348.288618799874
4,pvaley,Iron Air,32483.760078494815
10,pvaley,CAES,47199.82085919224
10,pvaley,Lead Acid,66915.94154418819
10,pvaley,Lithium-ion LFP,72613.84419286279
10,pvaley,Lithium-ion NMC,72613.84419286279
10,pvaley,PSH,69758.22264333334
10,pvaley,Thermal,41244.03378581399
10,pvaley,Vanadium Redox Flow,55963.923431411444
10,pvaley,Iron Air,34750.546200000004
24,pvaley,CAES,47757.16025
24,pvaley,Lead Acid,69320.98921948051
24,pvaley,Lithium-ion LFP,75378.86972778916
24,pvaley,Lithium-ion NMC,75378.86972778916
24,pvaley,PSH,72352.54535000003
24,pvaley,Thermal,41397.69418333333
24,pvaley,Vanadium Redox Flow,57338.76155769232
24,pvaley,Iron Air,34769.268500000006
100,pvaley,CAES,47757.16025
100,pvaley,Lead Acid,69321.59721948052
100,pvaley,Lithium-ion LFP,75393.59846084338
100,pvaley,Lithium-ion NMC,75393.59846084338
100,pvaley,PSH,72345.67400000001
100,pvaley,Thermal,41397.69418333333
100,pvaley,Vanadium Redox Flow,57338.76155769232
100,pvaley,Iron Air,34769.268500000006
4,minnhub,CAES,20925.179738491915
4,minnhub,Lead Acid,36899.720551441846
4,minnhub,Lithium-ion LFP,42145.287497269186
4,minnhub,Lithium-ion NMC,42145.287497269186
4,minnhub,PSH,39424.9721844
4,minnhub,Thermal,17073.928139850068
4,minnhub,Vanadium Redox Flow,27583.28234095428
4,minnhub,Iron Air,13168.871968764444
10,minnhub,CAES,24077.178443666162
10,minnhub,Lead Acid,42756.29809174497
10,minnhub,Lithium-ion LFP,48600.37052792094
10,minnhub,Lithium-ion NMC,48600.37052792094
10,minnhub,PSH,45569.327254799995
10,minnhub,Thermal,19195.210755848384
10,minnhub,Vanadium Redox Flow,31992.521676918877
10,minnhub,Iron Air,14137.26024
24,minnhub,CAES,24501.02352272728
24,minnhub,Lead Acid,45014.81718989609
24,minnhub,Lithium-ion LFP,51357.23125319879
24,minnhub,Lithium-ion NMC,51357.23125319879
24,minnhub,PSH,48101.980500000005
24,minnhub,Thermal,19339.268083333332
24,minnhub,Vanadium Redox Flow,33048.98751923077
24,minnhub,Iron Air,14151.231499999998
100,minnhub,CAES,24501.02352272728
100,minnhub,Lead Acid,45020.47674025973
100,minnhub,Lithium-ion LFP,51363.182745783124
100,minnhub,Lithium-ion NMC,51363.182745783124
100,minnhub,PSH,48112.70375000001
100,minnhub,Thermal,19339.268083333332
100,minnhub,Vanadium Redox Flow,33048.98751923077
100,minnhub,Iron Air,14151.231499999998
4,nobles,CAES,101975.69988188554
4,nobles,Lead Acid,118179.62078936612
4,nobles,Lithium-ion LFP,122126.75350197735
4,nobles,Lithium-ion NMC,122126.75350197735
4,nobles,PSH,120134.26589127109
4,nobles,Thermal,96193.16248473327
4,nobles,Vanadium Redox Flow,109780.21939138074
4,nobles,Iron Air,89206.45321942859
10,nobles,CAES,108699.4745981677
10,nobles,Lead Acid,128960.4288689286
10,nobles,Lithium-ion LFP,133985.19692923545
10,nobles,Lithium-ion NMC,133985.19692923545
10,nobles,PSH,131586.69865442222
10,nobles,Thermal,101445.24712863036
10,nobles,Vanadium Redox Flow,118385.75365261329
10,nobles,Iron Air,92880.80384
24,nobles,CAES,109460.05568181816
24,nobles,Lead Acid,131413.85739090908
24,nobles,Lithium-ion LFP,136819.9992846385
24,nobles,Lithium-ion NMC,136819.9992846385
24,nobles,PSH,134166.116375
24,nobles,Thermal,101766.75340833333
24,nobles,Vanadium Redox Flow,119854.91123076924
24,nobles,Iron Air,92986.95425000001
100,nobles,CAES,109460.05568181816
100,nobles,Lead Acid,131413.85739090908
100,nobles,Lithium-ion LFP,136819.9992846385
100,nobles,Lithium-ion NMC,136819.9992846385
100,nobles,PSH,134166.116375
100,nobles,Thermal,101766.75340833333
100,nobles,Vanadium Redox Flow,119854.91123076924
100,nobles,Iron Air,92986.95425000001
