name,bus,prime_mover,fuel,active_power,reactive_power,capacity,ap_min,ap_max,base_mva,for,fuel_price,output_point_0,heat_rate_incr_1,min_down_time,min_up_time,ramp_limits
arkansas_nuclear_one_1_8055_1,south,ST,NUCLEAR,0.0,0.0,829.8,250.0,829.8,1,0.02,1.0,1.0,10000.0,48,24,20
arkansas_nuclear_one_2_8055_2,south,ST,NUCLEAR,0.0,0.0,987.5,250.0,987.5,1,0.02,1.0,1.0,10000.0,48,24,20
carl_bailey_202_1,south,ST,NATURAL_GAS,0.0,0.0,120.0,60.0,120.0,1,0.12619999999999998,4.0,1.0,10000.0,5,8,4
jonesboro_city_water_light_plant_56505_SN01,south,GT,NATURAL_GAS,0.0,0.0,23.0,10.0,23.0,1,0.275,4.0,1.0,10445.17143,2,2,4
jonesboro_city_water_light_plant_56505_SN02,south,GT,NATURAL_GAS,0.0,0.0,22.0,10.0,22.0,1,0.275,4.0,1.0,10445.17143,2,2,4
jonesboro_city_water_light_plant_56505_SN04,south,GT,NATURAL_GAS,0.0,0.0,49.0,15.0,49.0,1,0.275,4.0,1.0,10445.17143,2,2,4
jonesboro_city_water_light_plant_56505_SN06,south,GT,NATURAL_GAS,0.0,0.0,49.0,15.0,49.0,1,0.275,4.0,1.0,10445.17143,2,2,4
jonesboro_city_water_light_plant_56505_SN07,south,GT,NATURAL_GAS,0.0,0.0,49.0,15.0,49.0,1,0.275,4.0,1.0,10445.17143,2,2,4
degray_187_2,south,PS,HYDRO,0.0,0.0,30.0,15.0,30.0,1,0.0,0.0,1.0,10000.0,0,0,30.0
dell_power_station_55340_CTG1,south,CT,NATURAL_GAS,0.0,0.0,199.3,100.0,199.3,1,0.0632,4.0,1.0,7664.52064,2,2,4
dell_power_station_55340_CTG2,south,CT,NATURAL_GAS,0.0,0.0,199.3,100.0,199.3,1,0.0632,4.0,1.0,7664.52064,2,2,4
dell_power_station_55340_STG,south,CA,NATURAL_GAS,0.0,0.0,280.5,62.0,280.5,1,0.0632,4.0,1.0,7664.52064,5,8,4
hot_spring_generating_facility_55418_CT1,south,CT,NATURAL_GAS,0.0,0.0,164.4,80.0,164.4,1,0.0632,4.0,1.0,7361.815074,2,2,4
hot_spring_generating_facility_55418_CT2,south,CT,NATURAL_GAS,0.0,0.0,164.4,80.0,164.4,1,0.0632,4.0,1.0,7361.815074,2,2,4
hot_spring_generating_facility_55418_ST1,south,CA,NATURAL_GAS,0.0,0.0,262.1,35.0,262.1,1,0.0632,4.0,1.0,7361.815074,5,8,4
independence_1_6641_1,south,ST,COAL,0.0,0.0,821.7,220.0,821.7,1,0.0977,2,1.0,12238.66196,24,48,4
independence_2_6641_2,south,ST,COAL,0.0,0.0,842.0,220.0,842.0,1,0.0977,2,1.0,12238.66196,24,48,4
lake_catherine_4_170_4,south,ST,NATURAL_GAS,0.0,0.0,522.0,45.0,522.0,1,0.12619999999999998,4.0,1.0,11002.66797,5,8,4
magnet_cove_55714_GT1,south,CT,NATURAL_GAS,0.0,0.0,242.0,142.0,242.0,1,0.0632,4.0,1.0,6935.249236,2,2,4
magnet_cove_55714_GT2,south,CT,NATURAL_GAS,0.0,0.0,242.0,142.0,242.0,1,0.0632,4.0,1.0,6935.249236,2,2,4
magnet_cove_55714_ST1,south,CA,NATURAL_GAS,0.0,0.0,262.0,83.0,262.0,1,0.0632,4.0,1.0,6935.249236,5,8,4
mcclellan_ar_203_1,south,ST,NATURAL_GAS,0.0,0.0,136.0,35.0,136.0,1,0.12619999999999998,4.0,1.0,11888.52506,5,8,4
