generator_name,storage_name,storage_volume,capacity,max_input,max_output,position,base_power
degray_187_2,degray_187_2_R,300,30,30,30,head,1.0
taum_sauk_2108_1,taum_sauk_2108_1_R,2040,204,204,204,head,1.0
taum_sauk_2108_2,taum_sauk_2108_2_R,2040,204,204,204,head,1.0
moline_899_HY1,moline_899_HY1_R,9,.9,.9,.9,head,1.0
moline_899_HY2,moline_899_HY2_R,9,.9,.9,.9,head,1.0
moline_899_HY3,moline_899_HY2_R,9,.9,.9,.9,head,1.0
ludington_1713_1,ludington_1713_1_R,1953,195.3,195.3,195.3,head,1.0
ludington_1713_2,ludington_1713_2_R,1948,194.8,194.8,194.8,head,1.0
ludington_1713_3,ludington_1713_3_R,1953,195.3,195.3,195.3,head,1.0
ludington_1713_4,ludington_1713_4_R,1948,194.8,194.8,194.8,head,1.0
ludington_1713_5,ludington_1713_5_R,1948,194.8,194.8,194.8,head,1.0
ludington_1713_6,ludington_1713_6_R,1953,195.3,195.3,195.3,head,1.0
harding_street_990_BAT1,harding_street_990_BAT1_B,80,20,20,20,head,1.0
nabb_battery_energy_storage_system_62862_ES1,nabb_battery_energy_storage_system_B,20,5,5,5,head,1.0
camp_atterbury_microgrid_hybrid_63324_ES1,camp_atterbury_microgrid_hybrid_B,20,5,5,5,head,1.0
crane_battery_energy_storage_system_64207_ES1,crane_battery_energy_storage_system_B,20,5,5,5,head,1.0
searcy_bat_62617_SEABT,searcy_bat_B,40,10,10,10,head,1.0
cavalry_solar_0_0,cavalry_solar_B,240,60,60,60,head,1.0
volkman_road_solar_61334_VRSA2,volkman_road_solar_B,4,1,1,1,head,1.0
portage_battery_0_0,portage_battery_B,20,5,5,5,head,1.0
deer_run_battery_0_0,deer_run_battery_B,20,5,5,5,head,1.0
parkview_battery_61909_1,parkview_battery_B,1.2,0.3,0.3,0.3,head,1.0
