DateTime,hydro_eastcentral,hydro_west,hydro_south
2023-01-01T00:00:00.0,462.1,116.2,257.1
2023-01-01T01:00:00.0,452.1,103.0,268.6
2023-01-01T02:00:00.0,450.2,103.4,269.1
2023-01-01T03:00:00.0,450.5,104.8,259.0
2023-01-01T04:00:00.0,449.6,105.5,257.9
2023-01-01T05:00:00.0,451.7,105.5,257.8
2023-01-01T06:00:00.0,453.3,105.7,257.6
2023-01-01T07:00:00.0,451.8,105.9,255.3
2023-01-01T08:00:00.0,460.6,111.3,248.1
2023-01-01T09:00:00.0,492.7,127.8,235.2
2023-01-01T10:00:00.0,503.7,144.3,226.9
2023-01-01T11:00:00.0,511.7,144.0,177.5
2023-01-01T12:00:00.0,511.8,144.5,177.0
2023-01-01T13:00:00.0,516.1,147.2,176.2
2023-01-01T14:00:00.0,512.4,186.0,164.8
2023-01-01T15:00:00.0,512.1,188.9,156.6
2023-01-01T16:00:00.0,513.3,187.1,165.0
2023-01-01T17:00:00.0,799.4,187.1,165.9
2023-01-01T18:00:00.0,1518.0,186.2,167.3
2023-01-01T19:00:00.0,917.6,186.6,181.8
2023-01-01T20:00:00.0,501.1,187.0,182.3
2023-01-01T21:00:00.0,500.3,186.4,187.1
2023-01-01T22:00:00.0,497.6,186.2,187.8
2023-01-01T23:00:00.0,482.8,130.0,189.7
2023-01-02T00:00:00.0,461.4,95.8,192.4
2023-01-02T01:00:00.0,454.9,87.8,192.5
2023-01-02T02:00:00.0,451.6,87.1,192.7
2023-01-02T03:00:00.0,450.6,86.1,193.1
2023-01-02T04:00:00.0,449.6,87.2,202.7
2023-01-02T05:00:00.0,457.1,101.5,206.0
2023-01-02T06:00:00.0,462.2,109.7,217.3
2023-01-02T07:00:00.0,484.2,150.2,219.3
2023-01-02T08:00:00.0,489.5,153.2,219.2
2023-01-02T09:00:00.0,498.9,162.6,229.5
2023-01-02T10:00:00.0,498.7,187.0,225.8
2023-01-02T11:00:00.0,513.4,194.0,232.8
2023-01-02T12:00:00.0,528.8,197.0,244.3
2023-01-02T13:00:00.0,523.8,196.6,272.1
2023-01-02T14:00:00.0,521.1,195.0,272.0
2023-01-02T15:00:00.0,521.3,194.9,273.7
2023-01-02T16:00:00.0,519.3,170.9,272.0
2023-01-02T17:00:00.0,1308.9,165.4,267.3
2023-01-02T18:00:00.0,1332.5,163.9,327.3
2023-01-02T19:00:00.0,771.1,151.1,364.5
2023-01-02T20:00:00.0,521.5,149.7,337.9
2023-01-02T21:00:00.0,516.3,149.6,326.0
2023-01-02T22:00:00.0,499.0,151.9,325.0
2023-01-02T23:00:00.0,470.1,148.8,322.1
2023-01-03T00:00:00.0,457.2,123.0,323.4
2023-01-03T01:00:00.0,455.2,116.6,312.8
2023-01-03T02:00:00.0,452.1,116.8,278.3
2023-01-03T03:00:00.0,449.6,116.2,282.8
2023-01-03T04:00:00.0,455.4,117.0,290.9
2023-01-03T05:00:00.0,459.6,129.7,289.9
2023-01-03T06:00:00.0,470.3,131.3,290.5
2023-01-03T07:00:00.0,481.5,132.1,314.1
2023-01-03T08:00:00.0,479.0,156.6,326.6
2023-01-03T09:00:00.0,493.2,192.8,331.8
2023-01-03T10:00:00.0,491.3,198.3,319.2
2023-01-03T11:00:00.0,497.5,198.4,314.9
2023-01-03T12:00:00.0,491.3,196.8,323.0
2023-01-03T13:00:00.0,472.8,196.9,321.1
2023-01-03T14:00:00.0,465.7,168.7,284.7
2023-01-03T15:00:00.0,460.7,167.4,282.9
2023-01-03T16:00:00.0,455.9,200.9,282.5
2023-01-03T17:00:00.0,457.7,204.5,305.9
2023-01-03T18:00:00.0,457.8,205.9,305.9
2023-01-03T19:00:00.0,456.0,204.9,304.0
2023-01-03T20:00:00.0,455.4,204.3,283.5
2023-01-03T21:00:00.0,440.6,201.9,277.8
2023-01-03T22:00:00.0,423.8,178.3,278.1
2023-01-03T23:00:00.0,403.5,166.6,233.8
2023-01-04T00:00:00.0,391.0,138.1,228.0
2023-01-04T01:00:00.0,382.7,132.3,227.2
2023-01-04T02:00:00.0,382.8,132.2,231.3
2023-01-04T03:00:00.0,382.8,129.7,232.2
2023-01-04T04:00:00.0,382.1,128.0,232.3
2023-01-04T05:00:00.0,387.6,131.3,232.0
2023-01-04T06:00:00.0,391.4,131.6,232.3
2023-01-04T07:00:00.0,383.9,132.9,230.1
2023-01-04T08:00:00.0,400.9,166.7,229.8
2023-01-04T09:00:00.0,395.6,191.7,228.2
2023-01-04T10:00:00.0,390.3,198.7,228.3
2023-01-04T11:00:00.0,384.8,200.8,258.4
2023-01-04T12:00:00.0,377.7,174.7,261.1
2023-01-04T13:00:00.0,370.4,169.4,298.7
2023-01-04T14:00:00.0,369.8,169.6,292.6
2023-01-04T15:00:00.0,382.5,169.1,290.5
2023-01-04T16:00:00.0,383.1,171.6,291.6
2023-01-04T17:00:00.0,391.0,194.6,316.1
2023-01-04T18:00:00.0,390.4,197.8,316.9
2023-01-04T19:00:00.0,382.5,196.9,324.8
2023-01-04T20:00:00.0,386.8,195.5,237.5
2023-01-04T21:00:00.0,390.1,193.8,220.2
2023-01-04T22:00:00.0,382.2,193.3,220.8
2023-01-04T23:00:00.0,369.5,187.3,220.2
2023-01-05T00:00:00.0,334.2,134.1,220.6
2023-01-05T01:00:00.0,313.2,123.4,222.2
2023-01-05T02:00:00.0,315.6,122.9,222.2
2023-01-05T03:00:00.0,314.2,123.2,223.6
2023-01-05T04:00:00.0,310.5,123.0,222.5
2023-01-05T05:00:00.0,304.4,125.8,219.6
2023-01-05T06:00:00.0,305.8,128.2,220.5
2023-01-05T07:00:00.0,313.0,134.6,246.4
