DateTime,hydro_eastcentral,hydro_west,hydro_south
2024-01-01T00:00:00.0,424.1,228.0,103.0
2024-01-01T01:00:00.0,425.1,227.1,103.8
2024-01-01T02:00:00.0,425.9,225.7,104.4
2024-01-01T03:00:00.0,427.0,223.2,104.8
2024-01-01T04:00:00.0,429.5,207.5,104.2
2024-01-01T05:00:00.0,432.3,183.9,103.8
2024-01-01T06:00:00.0,432.9,181.8,95.0
2024-01-01T07:00:00.0,449.9,181.4,94.8
2024-01-01T08:00:00.0,477.4,181.0,94.2
2024-01-01T09:00:00.0,502.7,182.2,105.8
2024-01-01T10:00:00.0,504.1,215.2,131.8
2024-01-01T11:00:00.0,497.1,225.0,137.7
2024-01-01T12:00:00.0,450.5,226.0,140.8
2024-01-01T13:00:00.0,448.4,226.6,143.1
2024-01-01T14:00:00.0,450.4,225.3,142.9
2024-01-01T15:00:00.0,451.2,224.6,142.8
2024-01-01T16:00:00.0,470.8,226.3,123.6
2024-01-01T17:00:00.0,501.7,225.7,149.5
2024-01-01T18:00:00.0,503.9,225.3,251.3
2024-01-01T19:00:00.0,491.8,225.7,267.6
2024-01-01T20:00:00.0,456.7,225.3,250.3
2024-01-01T21:00:00.0,449.3,225.5,163.1
2024-01-01T22:00:00.0,446.3,224.8,145.6
2024-01-01T23:00:00.0,426.0,224.3,145.3
2024-01-02T00:00:00.0,420.0,224.6,145.0
2024-01-02T01:00:00.0,420.2,216.0,144.4
2024-01-02T02:00:00.0,420.3,193.3,142.9
2024-01-02T03:00:00.0,422.0,186.5,141.9
2024-01-02T04:00:00.0,423.9,186.8,141.1
2024-01-02T05:00:00.0,425.8,186.2,140.9
2024-01-02T06:00:00.0,429.3,189.9,165.6
2024-01-02T07:00:00.0,989.9,193.1,231.7
2024-01-02T08:00:00.0,795.4,200.1,231.2
2024-01-02T09:00:00.0,519.5,214.5,213.7
2024-01-02T10:00:00.0,468.6,216.9,152.9
2024-01-02T11:00:00.0,459.9,217.5,141.8
2024-01-02T12:00:00.0,451.6,217.0,141.5
2024-01-02T13:00:00.0,457.8,216.5,141.6
2024-01-02T14:00:00.0,460.5,215.3,141.3
2024-01-02T15:00:00.0,487.5,216.1,142.0
2024-01-02T16:00:00.0,559.7,215.3,141.7
2024-01-02T17:00:00.0,1723.2,223.6,142.0
2024-01-02T18:00:00.0,1986.5,221.4,142.0
2024-01-02T19:00:00.0,1055.6,217.8,141.5
2024-01-02T20:00:00.0,776.0,217.5,140.7
2024-01-02T21:00:00.0,546.2,214.9,140.5
2024-01-02T22:00:00.0,476.9,214.4,140.4
2024-01-02T23:00:00.0,439.7,214.9,140.3
2024-01-03T00:00:00.0,426.4,212.5,140.3
2024-01-03T01:00:00.0,422.1,191.3,140.3
2024-01-03T02:00:00.0,420.6,193.3,139.8
2024-01-03T03:00:00.0,428.0,196.7,139.6
2024-01-03T04:00:00.0,432.7,196.4,139.5
2024-01-03T05:00:00.0,446.0,191.9,145.0
2024-01-03T06:00:00.0,556.9,189.2,217.1
2024-01-03T07:00:00.0,1971.3,189.2,260.3
2024-01-03T08:00:00.0,2300.2,193.8,261.5
2024-01-03T09:00:00.0,1423.9,215.0,184.2
2024-01-03T10:00:00.0,707.0,219.9,170.6
